id,keywords
10428,"['female nudity', 'hacker', 'nudity']"
17447,"['gay', 'aids', 'based on play or musical']"
9886,"['brain', 'childhood memory', 'dystopia']"
9482,"['judge', 'post-apocalyptic', 'dystopia']"
19326,"['stripper', 'jury', 'jurist']"
9344,"['puberty', 'first time']"
9071,"['cinema', 'independent film', 'filmmaker']"
8973,"['fanatic', 'supernatural', 'wizardry']"
15730,[]
47608,"['suicide attempt', 'college', 'teen angst']"
2293,"['sex', 'game show', 'slacker']"
9070,"['based on tv series', 'tokusatsu', 'superhero team']"
68274,"['widow', 'female friendship', 'grief']"
48787,"['chase', 'police', 'murder']"
34574,"['new york', 'vampire', 'dracula']"
1642,"['cheating', 'new identity', 'computer virus']"
11472,"['parent child relationship', 'baby', 'marriage']"
36196,"['library', 'party', 'independent film']"
11980,"['angel', 'archangel gabriel', 'menschheit']"
58372,"['trauma', 'game show', 'female protagonist']"
32646,"['sex', 'chemical', 'medicine']"
10533,"['based on novel', 'burning of witches', 'puritan']"
56088,[]
10802,"['dancing', 'female nudity', 'go-go dancer']"
10149,"['smoking', 'robber', 'cigarette']"
18402,"['horse', 'savannah', 'based on true story']"
9348,"['telepathy', 'dna', 'paranoia']"
139408,"['restaurant', 'oil', 'rural setting']"
281,"['pornography', 'prostitute', 'rape']"
5967,"['car mechanic', 'letter', 'musical']"
79593,[]
47939,"['baseball', 'drifter', 'dog']"
36834,"['mentor', 'poet', 'woman director']"
9090,"['transvestism', 'gay', 'new york']"
3512,"['terrorist', 'pentagon', 'satellite']"
52856,['woman director']
77350,['fashion']
9560,"['world war ii', 'vineyard', 'love']"
9804,"['ocean', 'tattoo', 'mutant']"
31611,"['dystopia', 'black white relations', 'alternative universe']"
65796,"['opium', 'loss of eyesight', 'biography']"
49805,[]
26258,"['cave', 'waterfall', 'children']"
50797,"['wife husband relationship', 'colonel']"
19155,"['monk', 'mountain', 'restaurant']"
76,"['dialogue', 'sunrise', 'talking']"
11017,['woman director']
37141,"['alcohol', 'obsession', 'babysitter']"
9382,"['aids', 'roommate', 'homicide']"
6715,['mississippi']
18256,"['castle', 'voyeurism']"
22625,"['forbidden love', 'moral conflict', 'independent film']"
2292,"['salesclerk', 'loser', 'aftercreditsstinger']"
1909,"['sex addiction', 'love', 'mental institution']"
8984,"['employee', 'workplace', 'sexual harassment']"
61813,"['vision', 'psychic']"
4954,"['terrorist', 'transport of prisoners', 'airplane']"
62488,"['heist', 'expectant father']"
10531,"['married couple', 'chile', 'pinochet-regime']"
11929,"['child abuse', 'detective', 'based on novel']"
8467,"['gas station', 'motel', 'utah']"
10451,"['cooking', 'sense of life', 'daughter']"
20156,"['secret', 'nightclub', 'pet shop']"
18395,"['female nudity', 'sexuality', 'island']"
522,"['individual', 'taxi', 'transsexuality']"
397,"['paris', 'airport', 'in love with enemy']"
10525,"['paris', 'dallas', 'basketball']"
27985,"['wilderness', 'boy and dog']"
15789,"['father son relationship', 'pop singer', 'musical']"
27303,['suspense']
21183,"['father son relationship', 'based on novel', 'reincarnation']"
10954,"['brother brother relationship', 'opera', 'eunuch']"
47867,['country music']
43475,[]
72031,[]
14275,"['chicago', 'sports team', 'ghetto']"
1024,"['mother', 'sex', 'secret']"
17207,[]
13701,"['deafness', 'sister-in-law', 'character study']"
14819,"['overweight', 'summer camp']"
32631,[]
11777,"['wedding vows', 'mathematician', 'car mechanic']"
628,"['paris', 'san francisco', 'vampire']"
87729,"['france', 'revolution', 'biography']"
18713,"['new york', 'telephone joke', 'gangster']"
6280,"['baby', 'medicine', 'media']"
9061,"['rape', 'black people', 'florida']"
37108,"['time travel', 'kids', 'medieval times']"
6071,['hoodlum']
11,"['android', 'galaxy', 'hermit']"
9587,"['depression', 'mother daughter relationship', 'pregnant']"
19101,"['based on novel', 'servant', 'private school']"
49980,"['love', 'children', 'family']"
17961,[]
18183,"['chocolate', 'jealousy', 'sister sister relationship']"
4476,"['brother brother relationship', 'montana', 'based on novel']"
11008,"['headquarter', 'military base', 'military service']"
47504,"['russian mafia', 'dysfunctional family', 'brothers']"
32325,"['east los angeles', 'gang', 'los angeles']"
43742,"['cruise', 'disabled', 'empire state building']"
28313,"['mother', 'child abuse', 'single parent']"
11318,"['queen', 'kingdom', 'biography']"
3036,"['human experimentation', 'frankenstein', 'remake']"
40490,[]
24070,"['holiday', 'rollerblades', 'cross dresser']"
8986,"['prostitute', 'tree house', 'red-light disctrict']"
10510,"['holiday', 'competition', 'new love']"
17402,[]
38722,"['immigrant', 'marriage', 'independent film']"
8438,"['prison', 'prisoner', 'death row']"
11593,"['illegal employment', 'retirement', 'drama']"
1945,"['loss of mother', 'loss of sister', 'twin sister']"
39310,"['new jersey', 'police', 'brutality']"
109560,[]
56428,"['suicide', 'detective', 'experiment']"
63105,"['cyborg', 'post-apocalyptic', 'sequel']"
131957,[]
241,"['sadistic', 'journalist', 'mass murder']"
9058,"['venice', 'italy', 'fortune teller']"
527,"['individual', 'slum', 'suicide']"
18220,"['sex', 'obsession', 'diary']"
6950,"['river', 'general', 'research']"
101,"['new york', 'corruption', 'assassin']"
63020,"['immigration', 'independent film', 'woman director']"
2307,"['jealousy', 'burning house', 'teenage crush']"
680,"['transporter', 'brothel', 'drug dealer']"
41478,['black panther']
25296,[]
40156,"['gay', 'secret', 'faith']"
11450,"['television', 'tv show', 'manipulation']"
30304,"['hawaii', 'arranged marriage', 'cultural difference']"
10452,"['marriage of convenience', 'konfession', 'royalty']"
12106,"['gunslinger', 'revenge', 'prairie']"
161495,"['grandfather grandson relationship', 'roommate', 'birthday']"
3586,"['paris', 'hotel room', 'suspicion of murder']"
110,"['judge', 'isolation', 'mannequin']"
108,"['paris', 'composer', 'pain']"
109,"['hairdresser', 'sexual frustration', 'funeral']"
159185,[]
36357,[]
92769,"['therapist', 'suspicion', 'serial murder']"
28033,[]
22586,"['princess', 'swan']"
14334,"['family relationships', 'ireland', 'seal']"
2636,"['explosive', 'revenge', 'explosives expert']"
2164,"['space travel', 'teleportation', 'uprising']"
11395,"['holiday', 'christmas party', 'santa claus']"
278,"['prison', 'corruption', 'police brutality']"
9905,"['roommate', 'distrust', 'overdose']"
87078,"['amnesia', 'betrayal', 'black and white']"
12527,"['gay', 'cuba', 'artist']"
20306,['independent film']
36614,"['gay', 'father son relationship', 'sydney']"
27993,[]
31439,"['gambling', 'china', 'child abuse']"
9067,"['destroy', 'dystopia', 'reincarnation']"
9059,"['prostitute', 'key', 'jesus christ']"
193,"['based on tv series', 'death', 'exploding planet']"
25066,"['prison', 'child abuse', 'ku klux klan']"
46797,[]
12122,"['alien life-form', 'village', 'bewusstlosigkeit']"
11381,[]
32636,"['independent film', 'chekhov']"
36141,"['noir', 'independent film', 'city']"
95963,"['vietnam', 'jungle', 'black american']"
1587,"['brother brother relationship', 'mentally disabled', 'iowa']"
9271,"['artificial intelligence', 'android', 'hologram']"
2064,"['brother brother relationship', 'chicago', 'coma']"
19855,"['vietnam veteran', 'bullying', 'child']"
60855,"['culture clash', 'immigrant', 'daughter']"
236,"['individual', 'becoming an adult', 'dream']"
48287,"['friends', 'camp', 'summer']"
3049,"['dolphin', 'mascot', 'private detective']"
2759,"['gay', 'drag queen', 'homophobia']"
12635,"['red-light disctrict', 'stuart sutcliffe', 'boyfriend girlfriend']"
10497,"['eroticism', 'wheelchair', 'married couple']"
11382,"['lover (female)', 'talent', 'mafia boss']"
9331,"['assassination', 'spy', 'ambush']"
10731,"['suicide', 'brother brother relationship', 'witness protection']"
10464,"['loss of mother', 'daughter', 'friendship']"
34152,"['black people', '1970s', 'jazz musician']"
9495,"['halloween', 'arson', 'detroit']"
29973,"['baseball', 'sport', 'historical figure']"
888,"['manager', 'jealousy', 'bad mother-in-law']"
13,"['vietnam veteran', 'hippie', 'mentally disabled']"
712,"['upper class', 'love at first sight', 'wedding vows']"
16295,"['racism', 'violence', 'date rape']"
48992,"['puerto rican', 'love', 'jail']"
10879,"['newspaper', 'adversary', 'reporter']"
10660,"['waitress', 'cop', 'lottery ticket']"
10714,"['indian lead', 'tiger', 'feral child']"
41647,"['nazis', 'propaganda', ""artists' life""]"
8587,"['loss of parents', 'wild boar', 'uncle']"
1689,"['buddhist', 'tibet', 'reincarnation']"
11596,"['fire', 'kidnapping', 'nightmare']"
854,"['dual identity', 'bank', 'mockery']"
9359,"['poker', 'mississippi', 'saloon']"
23333,"['new york', 'alcohol', 'prohibition']"
36593,"['undercover', 'spoof', 'state prison']"
12280,"['new york', 'research', 'success']"
2788,"['roommate', 'yuppie', 'generations confilct']"
10427,"['sheriff', 'wyoming', 'hitman']"
11011,"['family', 'life raft', 'private airplane']"
49803,"['mother', 'pain', 'marriage']"
8987,"['river', 'robber', 'boston']"
1637,"['bomb', 'airport', 'bus']"
15128,"['politics', 'love', 'speech writer']"
8831,"['martial arts', 'time travel', 'science fiction']"
36955,"['spy', 'terrorist', 'florida']"
10449,"['wife husband relationship', 'new love', 'family']"
10395,"['adultery', 'heal', 'bite']"
12160,"['gunslinger', 'gambling', 'sheriff']"
40480,"['cia', 'judge', 'blackmail']"
52038,"['gay', 'dublin', 'friendship']"
29444,"['loss of brother', 'hostage', 'tv show']"
26352,"['fbi', 'drug crime', 'violence']"
39953,[]
41580,[]
315,"['killing', 'sports car', 'go-go dancer']"
22067,"['family relationships', 'fear', 'relationship']"
18242,['stop motion']
11667,"['dictator', 'martial arts', 'hostage']"
32502,"['hitman', 'wound', 'yoga']"
267188,[]
28732,"['prank', 'independent film', 'bank robbery']"
75555,"['mannequin', 'supernatural', 'b movie']"
42981,"['film history', 'animation filmmaking']"
278939,"['robbery', 'bank', 'cadillac']"
291731,"['obsession', 'widow', 'tragic event']"
226229,[]
203119,"['television', 'satire']"
172923,[]
316098,['malcolm x']
8011,"['japan', 'new york', 'scotland']"
171857,[]
2654,"['small town', 'paranoia', 'new hampshire']"
18069,"['rodeo', 'independent film', 'cowboy']"
19092,['sport']
2758,"['jealousy', 'baby', 'brother sister relationship']"
38129,['stand-up comedy']
10436,"['upper class', 'new york', 'lover']"
13595,"['radio station', 'heavy metal', 'rock band']"
46094,['sport']
9409,"['staatsanwältin', 'cops', 'gangster']"
11853,"['female nudity', 'revenge', 'wild west']"
16771,"['barcelona spain', 'navy', 'independent film']"
46924,"['success', 'medieval times', 'struggle']"
11041,"['arkansas', 'oil', 'based on tv series']"
306,"['detective', 'undercover', 'security camera']"
14522,"['horse', 'country life', 'woman director']"
26203,"['killer', 'blindness']"
178,"['terrorist', 'boston', 'fireworks']"
19819,"['sport', 'basketball', 'drama']"
57834,"['mental disease', 'nuclear missile', 'history']"
4722,"['distrust', 'military base', 'remake']"
18215,"['obsession', 'dream', 'kidnapping']"
1607,"['gambling', 'father son relationship', 'black people']"
26391,[]
117553,"['male nudity', 'tattoo', 'california']"
6075,"['prison', '1970s', 'puerto rican']"
11310,"['nevada', 'gold', 'birthday']"
18658,[]
9350,"['mountain', 'rocky mountains', 'airplane']"
9612,"['extraterrestrial technology', 'alien life-form', 'space invasion']"
2124,"['suicide', 'california', 'sex']"
26261,"['winging into a wall', 'infra red', 'photo album epilogue']"
19176,['cowboy']
49299,"['independent film', 'drug', 'divorce']"
11566,"['coma', 'white house', 'usa president']"
9571,"['1970s', 'texas', 'high school']"
9739,"['helicopter', 'martial arts', 'crime fighter']"
24257,[]
34444,"['transvestism', 'lesbian', 'cowgirl']"
26141,"['spoof', 'private detective']"
10997,"['gay', 'china', 'society']"
50463,[]
10443,"['grief', 'disaster', 'guilt']"
20239,"['hip-hop', 'musician', 'mockumentary']"
16297,"['homeless person', 'law school', 'bum']"
18551,"['gambling', 'sex', 'robbery']"
25440,[]
9024,"['hotel', 'lover (female)', 'concierge']"
37233,"['fbi', 'law', 'tennessee']"
1634,"['social work', 'social worker', 'human animal relationship']"
13815,"['war on drugs', 'drug traffic', 'drug dealer']"
5503,"['chicago', 'showdown', 'undercover']"
35588,"['apache', 'historical figure', 'native american']"
2087,"['suicide by hanging', 'sexual torture', 'exploding truck']"
41579,[]
18620,"['lesbian relationship', 'homosexuality', 'independent film']"
41006,['golf']
4916,[]
2019,"['new orleans', 'mercenary', 'hunting human beings']"
31642,"['vietnam', 'vietnam war', 'biography']"
9255,"['swordplay', 'secret agent', 'liberation of hostage']"
26271,"['sleepover', 'independent film', 'best friend']"
10612,"['wales', 'world war i', 'village']"
2259,"['central and south america', 'farm worker', 'farm']"
16097,[]
11934,"['suicide', 'new york', 'corruption']"
106143,"['father daughter relationship', 'actor', 'unsuccessful']"
12475,"['education', 'u.s. army', 'friendship']"
9386,"['cia', 'assassin', 'running']"
7984,"['bomb', 'prison', 'father son relationship']"
59930,[]
15765,"['price of fame', 'tina turner', 'black woman']"
31643,[]
6,"['chicago', 'drug dealer', 'boxing match']"
329,"['exotic island', 'dna', 'paleontology']"
10909,"['california', 'journalist', 'journalism']"
507,"['paris', 'prostitute', 'robbery']"
34024,"['marbles', 'elevator operator', 'bellboy']"
29918,['lassie']
9593,"['magic', 'movie in movie', 'spoof']"
42580,[]
22317,"['lightning', 'jack']"
1413,"['china', 'opera singer']"
12121,"['car dealer', 'anonymity', 'high school']"
2246,"['married couple', 'insurance fraud', 'boarder']"
10502,"['secret', 'suspicion', 'face transplant']"
10440,"['investigation', 'dark comedy', 'independent film']"
9516,"['black people', 'drug dealer', 'ghetto']"
2320,"['bomb', 'ransom', 'hostage']"
5879,"['japan', 'jealousy', 'brothel']"
83718,"['date', 'conversation', 'secretary']"
11971,"['shakespeare', 'bachelor', 'new love']"
2625,"['depression', 'therapist', 'symphony']"
31911,"['professor', 'friendship', 'unfaithfulness']"
788,"['san francisco', 'parent child relationship', 'restaurant']"
21450,['reference to the book of revelation']
11231,"['martial arts', 'becoming an adult', 'karate']"
41588,"['yuppie', 'satire', 'surrealism']"
10447,"['prison', 'island', 'chase']"
31586,"['parent child relationship', 'child prodigy', 'travel']"
9300,"['london england', 'queen', 'queen elizabeth i']"
9559,"['hostage', 'escape from prison', 'escaped convict']"
9800,"['gay', 'aids', 'homophobia']"
713,"['love triangle', 'scotland', 'mother']"
8291,"['loss of lover', 'sadness', 'los angeles']"
18133,"['american football', 'sport']"
25557,[]
22588,"['radio station', 'radio', 'writer']"
10872,"['holiday', 'robbery', 'burglar']"
1245,"['newspaper', 'butler', 'country house']"
11858,"['vietnam veteran', 'commercial', 'advertising expert']"
7007,"['japan', 'usa', 'corruption']"
10467,"['competition', 'sanatorium', 'musical']"
5550,"['cyborg', 'dystopia', 'police']"
8005,"['witch', 'tree house', 'robin hood']"
2088,"['police operation', 'sex addiction', 'police']"
10412,"['skinhead', 'resistance', 'immigrant']"
47889,['independent film']
14534,"['american football', 'biography', 'sport']"
56583,"['schizophrenia', 'photographer', 'homelessness']"
41878,[]
424,"['factory', 'concentration camp', 'hero']"
35233,"['baseball', 'pitcher', 'sport']"
14291,"['chess', 'hustler', 'child prodigy']"
103413,"['suicide', 'social worker', 'village']"
11236,"['based on novel', 'servant', 'secret']"
11592,"['housewife', 'protection', 'motherly love']"
8850,"['new york', 'atomic bomb', 'ladykiller']"
10445,"['bachelor', 'stroke of fate', 'brother']"
695,"['suicide', 'loss of son', 'helicopter']"
43535,[]
12519,"['female nudity', 'pastor', 'married couple']"
23210,"['con man', 'new york city', 'art']"
858,"['father son relationship', 'lovesickness', 'journalist']"
867,"['new york', 'sex', 'based on novel']"
78,"['artificial intelligence', 'bounty hunter', 'dystopia']"
13203,"['college', 'thanksgiving', 'farm']"
10442,"['scotland', 'butcher', 'sister']"
11074,"['philadelphia', 'boat', 'observer']"
33367,[]
9607,"['saving the world', 'brother brother relationship', 'royalty']"
17585,['hunting human beings']
9057,"['ladykiller', 'kgb', 'parachuting']"
20967,[]
10635,"['crush', 'pillow fight', 'catcher in the rye']"
9479,"['holiday', 'fire', 'santa claus']"
10057,"['paris', 'musketeer']"
11969,"['retirement', 'wyatt earp', 'right and justice']"
41590,"['organized crime', 'mob boss']"
319,"['father son relationship', 'film producer', 'mexican standoff']"
26408,"['politics', 'election campaign', 'woman director']"
15139,"['library', 'adventure', 'part animated']"
161158,"['cheating wife', 'masturbation', 'cuckold']"
218473,['woman director']
85247,"['hitman', 'aftercreditsstinger', 'neo-noir']"
11446,"['parent child relationship', 'sister sister relationship', 'mockery']"
51980,['industrial revolution']
24405,"['prison', 'sex', 'handcuffs']"
11655,"['industrialist', 'scarab', 'invention']"
11800,"['new york', 'author']"
8223,"['suicide', 'photographer', 'marriage proposal']"
14587,"['indian lead', 'independent film', 'woman director']"
31504,"['baseball', 'sport']"
41653,"['father son relationship', 'child abuse', 'sadistic']"
53185,[]
95743,[]
23637,['woman director']
17600,"['adultery', 'nudity', 'independent film']"
10897,"['running', 'shenanigan', 'friendship']"
349394,['coming of age']
21352,[]
68806,[]
37345,[]
32562,"['gay', 'cinema', 'media']"
47507,['pregnancy']
25403,['independent film']
124304,"['dwarves', 'small town', 'widow']"
9066,"['supermarket', 'house', 'woman director']"
771,"['holiday', 'burglar', 'home invasion']"
251,"['corruption', 'fortune teller', 'money transfer']"
812,"['magic', 'musical', 'cartoon']"
280,"['cyborg', 'shotgun', 'post-apocalyptic']"
581,"['skab under tv', 'Øverste hylde', 'foran']"
80350,"['cia', 'amnesia', 'drug smuggling']"
268,"['double life', 'dc comics', 'dual identity']"
274,"['based on novel', 'psychopath', 'horror']"
408,"['poison', 'witch', 'becoming an adult']"
10020,"['prince', 'book', 'castle']"
10895,"['italy', 'lie', 'magic']"
114,"['prostitute', 'capitalism', 'cinderella']"
41043,"['paris', 'cat', 'music teacher']"
576,"['underdog', 'robbery', 'bounty hunter']"
15477,"['suspense', 'independent film']"
59146,"['bride', 'chinese', 'groom']"
124472,['woman director']
30528,[]
7300,"['skab under tv', 'bagved', 'Øverste hylde']"
10824,"['new orleans', 'sequel', 'murder']"
261246,"['london england', 'morality', 'doctor']"
275,"['cheating', 'ransom', 'salesclerk']"
25059,[]
11827,"['flying car', 'taxi', 'heavy metal']"
8766,"['artificial intelligence', 'engineer', 'hell']"
23570,"['independent film', 'mistaken identity']"
47333,"['aunt', 'gentleman']"
54850,"['countryside', 'drug abuse', 'tragedy']"
51242,"['switzerland', 'worker', 'immigrant']"
10112,"['paris', 'cat', 'butler']"
4307,"['spain', 'madrid', 'suicide attempt']"
46029,[]
32308,"['baseball', 'sport', 'monkey']"
88893,"['mountain', 'mountaineer', 'climbing']"
52873,"['reunion', 'memory', 'christmas']"
123505,[]
340210,['prison guard']
44281,['young boy']
28121,"['revenge', 'african american', 'dating']"
12520,"['painter', 'sex', 'fascist']"
1592,"['corruption', 'bishop', 'court case']"
166901,[]
36447,"['secret', 'nudity', 'passion']"
19042,['dog']
38884,"['spain', 'solidarity', 'fascism']"
47449,"['answering machine', 'telephone', 'masturbation']"
36259,"['cop', 'dinosaur']"
41852,"['letter', 'arkansas', 'childbirth']"
40926,[]
9099,"['gulf war', 'u.s. army', 'based on tv series']"
2021,"['london england', 'depression', 'baby']"
61752,"['independent film', 'neighbor', 'masturbation']"
10988,"['wife husband relationship', 'violent husband', 'planned murder']"
11479,"['paris', 'father son relationship', 'amazon']"
398959,[]
287305,[]
339428,"['sex', 'adultery', 'group sex']"
12652,"['age difference', 'retiree']"
10684,"['gulf war', 'pilot', 'u.s. army']"
954,"['paris', 'london england', 'spy']"
68445,['road movie']
18989,"['shipwreck', 'reunion', 'death of husband']"
10801,"['married couple', 'book', 'deceived wife']"
54285,"['neighbor', 'chef', 'anorexic']"
8840,"['magic', 'kingdom', 'despot']"
278978,[]
124625,[]
11107,"['new york', 'trainer', 'chauffeur']"
16417,"['slapstick', 'mischief', 'disguise']"
70934,[]
10363,"['poker', 'sailboat', 'dual identity']"
161070,"['wales', 'rural setting', 'older woman younger man relationship']"
10539,"['based on novel', 'garden', 'loss of parents']"
10543,"['psychopath', 'teenage girl']"
18414,"['based on tv series', 'scientist', 'drug']"
47502,"['kitchen', 'female protagonist', 'bathtub']"
11902,"['world war ii', 'lie', 'cellar']"
27098,"['jealousy', 'high school', 'alcoholism']"
25087,"['martial arts', 'mixed martial arts', 'kumite']"
5801,"['robbery', 'move', 'monsoon']"
896,"['broken engagement', 'arranged marriage', 'dying and death']"
3065,"['tastelessness', 'film and cinema', 'based on tv series']"
318177,[]
2300,"['sport', 'basketball', 'doctor']"
8069,"['sexual fantasy', 'alien planet', 'distant future']"
288173,"['rape', 'nudity', 'police corruption']"
187851,[]
27768,['independent film']
221917,"['ireland', 'strained relationship']"
8072,"['dystopia', 'surrealism', 'lemmy caution']"
35797,['french noir']
88030,[]
185191,[]
83857,"['telescope', 'lesbian']"
33245,"['gay', 'aids', 'terminal illness']"
124460,[]
27281,[]
105045,"['anti-communism', 'political', 'woman director']"
40001,"['role reversal', 'mistaken identity', 'train wreck']"
29621,"['android', 'lasergun', 'village']"
117730,[]
20762,[]
37144,"['investigation', 'murder', 'suspense']"
48260,['lesbian relationship']
