,mid,genres
58,99040,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
59,11359,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
60,17182,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
61,2054,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
62,10607,"[{'id': 35, 'name': 'Comedy'}]"
63,19760,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
64,9536,"[{'id': 35, 'name': 'Comedy'}]"
65,11525,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
66,40628,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
67,4482,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
68,10634,"[{'id': 35, 'name': 'Comedy'}]"
69,755,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
70,11859,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
71,28387,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
72,48750,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
73,20927,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
74,36929,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
75,9102,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
76,124626,"[{'id': 99, 'name': 'Documentary'}]"
77,27526,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
78,9623,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
79,46785,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]"
80,400,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
81,880,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
82,146599,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
83,188588,[]
84,8447,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
85,10534,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]"
86,17414,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
87,13997,"[{'id': 35, 'name': 'Comedy'}]"
88,2086,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
89,61548,"[{'id': 18, 'name': 'Drama'}]"
90,9095,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
91,12158,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]"
92,9283,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
93,9208,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
94,40154,"[{'id': 35, 'name': 'Comedy'}]"
95,406,"[{'id': 18, 'name': 'Drama'}]"
96,45549,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
97,63076,"[{'id': 99, 'name': 'Documentary'}]"
98,11062,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
99,13685,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
100,47475,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
101,2045,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
102,9614,"[{'id': 35, 'name': 'Comedy'}]"
103,688,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
104,11907,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
105,10874,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]"
106,89333,"[{'id': 99, 'name': 'Documentary'}]"
107,96357,"[{'id': 80, 'name': 'Crime'}]"
108,197,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
109,103,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
110,33542,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
111,43566,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
112,71754,"[{'id': 18, 'name': 'Drama'}]"
113,43612,"[{'id': 35, 'name': 'Comedy'}]"
114,51352,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
115,16934,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
116,10324,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
117,78406,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
118,55731,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
119,32119,"[{'id': 18, 'name': 'Drama'}]"
120,11066,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
121,11104,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
122,37975,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
123,2074,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
124,27793,"[{'id': 14, 'name': 'Fantasy'}]"
125,44284,"[{'id': 18, 'name': 'Drama'}]"
126,290157,[]
127,110972,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
128,32622,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
129,73067,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
130,11863,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]"
131,55475,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
132,124636,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]"
133,9101,"[{'id': 35, 'name': 'Comedy'}]"
134,123360,"[{'id': 99, 'name': 'Documentary'}]"
135,5757,"[{'id': 35, 'name': 'Comedy'}]"
136,39428,"[{'id': 18, 'name': 'Drama'}]"
137,124639,[]
138,9302,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
139,11000,"[{'id': 35, 'name': 'Comedy'}]"
140,249882,"[{'id': 18, 'name': 'Drama'}]"
141,16388,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
142,9737,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
143,30765,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
144,10474,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
145,22279,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
146,30157,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
147,568,"[{'id': 18, 'name': 'Drama'}]"
148,11780,"[{'id': 12, 'name': 'Adventure'}]"
149,34996,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]"
150,414,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]"
151,649,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
152,1873,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
153,5894,"[{'id': 35, 'name': 'Comedy'}]"
154,1775,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]"
155,8839,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
156,20649,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
157,10329,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
158,8963,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
159,26564,"[{'id': 99, 'name': 'Documentary'}]"
160,8068,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
161,8512,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
162,1572,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
163,13552,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
164,259209,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
165,6520,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
166,9073,"[{'id': 12, 'name': 'Adventure'}]"
167,10428,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
168,17447,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
169,9886,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
170,9482,"[{'id': 878, 'name': 'Science Fiction'}]"
171,19326,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
172,9344,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
173,9071,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
174,8973,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
175,15730,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
176,47608,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
177,2293,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
178,9070,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
179,68274,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
180,48787,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]"
181,34574,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
182,1642,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]"
183,11472,"[{'id': 35, 'name': 'Comedy'}]"
184,36196,"[{'id': 35, 'name': 'Comedy'}]"
185,11980,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
186,58372,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
187,32646,"[{'id': 18, 'name': 'Drama'}]"
188,10533,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
189,10802,"[{'id': 18, 'name': 'Drama'}]"
190,10149,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
191,18402,"[{'id': 35, 'name': 'Comedy'}]"
192,9348,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]"
193,139408,"[{'id': 18, 'name': 'Drama'}]"
194,281,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
195,5967,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
196,79593,"[{'id': 53, 'name': 'Thriller'}]"
197,47939,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"
198,36834,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
199,9090,"[{'id': 35, 'name': 'Comedy'}]"
200,3512,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
201,52856,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
202,77350,"[{'id': 99, 'name': 'Documentary'}]"
203,9560,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
204,9804,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]"
205,31611,"[{'id': 18, 'name': 'Drama'}]"
206,65796,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]"
207,49805,"[{'id': 18, 'name': 'Drama'}]"
208,26258,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}]"
209,50797,"[{'id': 18, 'name': 'Drama'}]"
210,19155,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
211,76,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
212,11017,"[{'id': 35, 'name': 'Comedy'}]"
213,37141,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
214,9382,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
215,6715,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
216,18256,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]"
217,22625,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
218,2292,"[{'id': 35, 'name': 'Comedy'}]"
219,1909,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
220,8984,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]"
221,61813,"[{'id': 53, 'name': 'Thriller'}]"
222,4954,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
223,62488,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]"
224,10531,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]"
225,11929,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
226,8467,"[{'id': 35, 'name': 'Comedy'}]"
227,10451,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
228,20156,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
229,18395,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]"
230,522,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
231,397,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
232,10525,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
233,27985,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
234,15789,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]"
235,27303,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
236,21183,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
237,10954,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"
238,47867,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
239,43475,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]"
240,72031,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
241,14275,"[{'id': 99, 'name': 'Documentary'}]"
242,1024,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"
243,17207,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
244,13701,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
245,14819,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]"
246,32631,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
247,11777,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
248,628,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]"
249,87729,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
250,18713,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
